timestamp,type,speed,heading,latitude,longitude
2024-10-03 09:03:21.560000,Static,0.0,0.0,32.64542,-16.90841
2024-10-03 09:05:55.680000,Static,0.0,0.0,32.644498,-16.909696
2024-10-03 09:08:29.800000,Static,0.0,0.0,32.643259,-16.906586
2024-10-03 09:11:03.920000,Static,0.0,0.0,32.641528,-16.90583
2024-10-03 09:13:38.040000,Dock,10.8,339.80870328363034,32.641528,-16.90583
2024-10-03 09:15:00.237333,Interpolated,10.8,240.67131280404902,32.63893946666667,-16.911295333333335
2024-10-03 09:16:22.434666,Interpolated,10.8,240.67131280404902,32.63635093333333,-16.91676066666667
2024-10-03 09:17:44.632000,Interpolated,10.8,240.67131280404902,32.6337624,-16.922226000000002
2024-10-03 09:19:06.829333,Interpolated,10.8,240.67131280404902,32.631173866666664,-16.927691333333335
2024-10-03 09:20:29.026666,Interpolated,10.8,240.67131280404902,32.62858533333333,-16.93315666666667
2024-10-03 09:21:51.224000,Interpolated,10.8,240.67131280404902,32.6259968,-16.938622000000002
2024-10-03 09:23:13.421333,Interpolated,10.8,240.67131280404902,32.623408266666665,-16.944087333333336
2024-10-03 09:24:35.618666,Interpolated,10.8,240.67131280404902,32.620819733333335,-16.949552666666666
2024-10-03 09:25:57.816000,Interpolated,10.8,240.67131280404902,32.6182312,-16.955018
2024-10-03 09:27:20.013333,Interpolated,10.8,240.67131280404902,32.615642666666666,-16.960483333333332
2024-10-03 09:28:42.210666,Interpolated,10.8,240.67131280404902,32.613054133333335,-16.965948666666666
2024-10-03 09:30:04.408000,Interpolated,10.8,240.67131280404902,32.6104656,-16.971414
2024-10-03 09:31:26.605333,Interpolated,10.8,240.67131280404902,32.60787706666667,-16.976879333333333
2024-10-03 09:32:48.802666,Interpolated,10.8,240.67131280404902,32.60528853333333,-16.982344666666666
2024-10-03 09:34:11.000000,Terrestrial,10.8,212.0,32.6027,-16.98781
2024-10-03 09:37:11.000000,Terrestrial,10.8,210.0,32.59537,-16.99346
2024-10-03 09:40:11.000000,Terrestrial,7.9,209.0,32.59112,-16.99652
2024-10-03 09:43:11.000000,Terrestrial,4.5,156.0,32.5888,-16.9953
2024-10-03 09:46:11.000000,Terrestrial,4.0,105.0,32.5872,-16.9932
2024-10-03 09:49:11.000000,Terrestrial,3.4,94.0,32.58714,-16.99065
2024-10-03 09:52:11.000000,Terrestrial,2.7,108.0,32.58671,-16.98752
2024-10-03 09:55:11.000000,Terrestrial,3.8,44.0,32.58678,-16.98481
2024-10-03 09:58:11.000000,Terrestrial,7.6,313.0,32.58881,-16.98557
2024-10-03 10:01:11.000000,Terrestrial,8.4,328.0,32.59441,-16.99047
2024-10-03 10:04:11.000000,Terrestrial,8.9,324.0,32.59833,-16.99342
2024-10-03 10:07:11.000000,Terrestrial,8.5,294.0,32.60121,-16.99853
2024-10-03 10:10:11.000000,Terrestrial,11.3,291.0,32.60452,-17.00791
2024-10-03 10:13:11.000000,Terrestrial,10.6,294.0,32.60708,-17.01601
2024-10-03 10:16:11.000000,Terrestrial,9.6,281.0,32.6096,-17.02413
2024-10-03 10:19:11.000000,Terrestrial,12.0,279.0,32.61045,-17.03102
2024-10-03 10:22:11.000000,Terrestrial,10.0,267.0,32.61035,-17.03805
2024-10-03 10:25:11.000000,Terrestrial,11.4,267.0,32.61043,-17.04502
2024-10-03 10:28:11.000000,Terrestrial,9.6,295.0,32.61095,-17.05194
2024-10-03 10:31:11.000000,Terrestrial,11.6,264.0,32.61254,-17.06191
2024-10-03 10:34:11.000000,Terrestrial,7.9,255.0,32.61216,-17.06848
2024-10-03 10:37:11.000000,Terrestrial,2.6,249.0,32.61083,-17.07166
2024-10-03 10:40:11.000000,Terrestrial,2.4,201.0,32.61002,-17.0731
2024-10-03 10:43:11.000000,Terrestrial,6.4,206.0,32.60695,-17.07446
2024-10-03 10:46:11.000000,Terrestrial,6.7,73.0,32.60644,-17.07129
2024-10-03 10:49:11.000000,Terrestrial,4.5,71.0,32.60728,-17.06837
2024-10-03 10:52:11.000000,Terrestrial,10.5,89.0,32.60854,-17.06133
2024-10-03 10:55:11.000000,Terrestrial,11.5,93.0,32.60848,-17.05427
2024-10-03 10:58:11.000000,Terrestrial,10.5,78.0,32.60777,-17.04366
2024-10-03 11:01:11.000000,Terrestrial,11.2,87.0,32.61246,-17.03487
2024-10-03 11:04:11.000000,Terrestrial,11.4,34.0,32.61508,-17.02878
2024-10-03 11:07:11.000000,Terrestrial,11.3,34.0,32.62022,-17.02457
2024-10-03 11:10:11.000000,Terrestrial,11.4,29.0,32.62519,-17.02003
2024-10-03 11:13:11.000000,Terrestrial,11.3,36.0,32.6303,-17.01572
2024-10-03 11:16:11.000000,Terrestrial,11.5,42.0,32.63693,-17.00806
