timestamp,type,speed,heading,latitude,longitude
2024-09-09 08:43:35.444445000,Static,0.0,0.0,32.64542,-16.90841
2024-09-09 08:46:06.240741000,Static,0.0,0.0,32.644498,-16.909696
2024-09-09 08:48:37.037037000,Static,0.0,0.0,32.643259,-16.906586
2024-09-09 08:51:07.833334000,Static,0.0,0.0,32.641528,-16.90583
2024-09-09 08:53:38.629630000,Dock,12.1,339.80870328363034,32.641528,-16.90583
2024-09-09 09:00:20.753086000,Interpolated,12.1,187.08017452141374,32.636352,-16.906593333333333
2024-09-09 09:07:02.876543000,Interpolated,12.1,187.08017452141374,32.631175999999996,-16.90735666666667
2024-09-09 09:13:45.000000000,Terrestrial,12.1,202.0,32.626,-16.90812
2024-09-09 09:16:31.666666666,Terrestrial,10.0,235.0,32.62054,-16.91068
2024-09-09 09:19:18.333333333,Terrestrial,10.1,243.0,32.61761,-16.91815
2024-09-09 09:22:05.000000000,Terrestrial,10.3,235.0,32.61381,-16.92532
2024-09-09 09:24:51.666666666,Terrestrial,10.2,257.0,32.61057,-16.93278
2024-09-09 09:27:38.333333333,Terrestrial,10.2,251.0,32.60947,-16.93933
2024-09-09 09:30:25.000000000,Terrestrial,10.3,250.0,32.60766,-16.94581
2024-09-09 09:33:11.666666666,Terrestrial,10.5,253.0,32.6054,-16.95395
2024-09-09 09:35:58.333333333,Terrestrial,10.5,238.0,32.60308,-16.96027
2024-09-09 09:38:45.000000000,Terrestrial,10.2,243.0,32.60004,-16.96634
2024-09-09 09:41:31.666666666,Terrestrial,11.0,238.0,32.5961,-16.97572
2024-09-09 09:44:18.333333333,Terrestrial,10.7,263.0,32.59535,-16.98413
2024-09-09 09:47:05.000000000,Terrestrial,10.4,263.0,32.59455,-16.99272
2024-09-09 09:49:51.666666666,Terrestrial,10.2,265.0,32.59376,-17.0013
2024-09-09 09:52:38.333333333,Terrestrial,9.8,232.0,32.59191,-17.00895
2024-09-09 09:55:25.000000000,Terrestrial,9.6,219.0,32.58815,-17.01355
2024-09-09 09:58:11.666666666,Terrestrial,10.0,181.0,32.58333,-17.01648
2024-09-09 10:00:58.333333333,Terrestrial,4.4,163.0,32.57693,-17.0167
2024-09-09 10:03:45.000000000,Terrestrial,2.8,133.0,32.57458,-17.01495
2024-09-09 10:06:31.666666666,Terrestrial,3.9,101.0,32.57435,-17.01289
